epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.9997,1.12751,1.55801,1.27572,0.72516,0.80162,0.79724,0.3314,1.93952,1.25767,1.6679,0.000552773,0.000552773,0.000552773
2,43.2166,0.99607,0.94286,1.17673,0.61106,0.586,0.57571,0.25403,2.00672,1.7159,1.76936,0.00108649,0.00108649,0.00108649
3,62.3118,0.94173,0.79901,1.14819,0.64479,0.63972,0.63654,0.27669,1.92429,1.52281,1.66635,0.00159821,0.00159821,0.00159821
4,81.3272,0.90333,0.72023,1.12642,0.82574,0.80347,0.85153,0.39453,1.84165,1.02263,1.62495,0.00156798,0.00156798,0.00156798
5,100.38,0.84802,0.65259,1.0946,0.67366,0.7855,0.73748,0.29785,2.0003,1.09615,1.78118,0.00153497,0.00153497,0.00153497
6,119.445,0.83471,0.62095,1.0854,0.76705,0.79036,0.8509,0.42532,1.73004,0.98045,1.51433,0.00150197,0.00150197,0.00150197
7,138.572,0.8089,0.59426,1.07685,0.88288,0.8934,0.91566,0.45019,1.74969,0.79736,1.53714,0.00146896,0.00146896,0.00146896
8,157.657,0.74085,0.55121,1.04053,0.8858,0.90558,0.91245,0.47417,1.57693,0.73893,1.43417,0.00143595,0.00143595,0.00143595
9,176.837,0.7394,0.54139,1.03959,0.83451,0.77807,0.84934,0.44529,1.70895,0.96889,1.50411,0.00140295,0.00140295,0.00140295
10,195.949,0.71238,0.52018,1.02807,0.70805,0.73548,0.76638,0.38338,1.72457,1.25655,1.51689,0.00136994,0.00136994,0.00136994
11,215.061,0.68526,0.49255,1.01543,0.87906,0.90102,0.91724,0.48999,1.62233,0.69606,1.44219,0.00133693,0.00133693,0.00133693
12,234.249,0.67673,0.49181,1.0098,0.85289,0.85562,0.92891,0.49115,1.57821,0.86193,1.41756,0.00130393,0.00130393,0.00130393
13,253.46,0.67069,0.48491,1.00806,0.80222,0.85614,0.87071,0.48043,1.51084,0.84423,1.37061,0.00127092,0.00127092,0.00127092
14,272.668,0.66245,0.46703,1.00357,0.90213,0.91103,0.94078,0.50368,1.63809,0.69574,1.46731,0.00123791,0.00123791,0.00123791
15,291.869,0.64481,0.45799,0.99757,0.82059,0.84662,0.87381,0.39812,1.86645,1.00752,1.61284,0.00120491,0.00120491,0.00120491
16,311.158,0.6327,0.44556,0.98368,0.84007,0.9046,0.89095,0.46107,1.71111,0.87172,1.47069,0.0011719,0.0011719,0.0011719
17,330.524,0.60659,0.43383,0.97959,0.88153,0.85596,0.90098,0.49808,1.55471,0.83355,1.37259,0.00113889,0.00113889,0.00113889
18,349.847,0.61751,0.43359,0.98328,0.86405,0.87675,0.92091,0.48527,1.64762,0.79804,1.43995,0.00110589,0.00110589,0.00110589
19,369.221,0.58935,0.42102,0.97167,0.87831,0.92425,0.9214,0.52406,1.49548,0.67441,1.34208,0.00107288,0.00107288,0.00107288
20,388.541,0.59255,0.41741,0.97174,0.81988,0.79005,0.86448,0.46808,1.59376,0.95008,1.42036,0.00103987,0.00103987,0.00103987
21,407.801,0.5843,0.41155,0.96902,0.77635,0.79118,0.86445,0.46093,1.54028,1.08421,1.38327,0.00100687,0.00100687,0.00100687
22,427.077,0.58387,0.41075,0.96737,0.92391,0.87187,0.93266,0.51486,1.55106,0.72511,1.35624,0.000973861,0.000973861,0.000973861
23,446.414,0.55546,0.39131,0.95468,0.86146,0.89132,0.92989,0.51605,1.51559,0.85574,1.34426,0.000940855,0.000940855,0.000940855
24,465.739,0.54953,0.38644,0.95705,0.84406,0.88,0.91684,0.50559,1.56679,0.69054,1.43821,0.000907848,0.000907848,0.000907848
25,485.058,0.5433,0.39007,0.95246,0.85762,0.85557,0.91742,0.52601,1.49011,0.77723,1.34007,0.000874842,0.000874842,0.000874842
26,504.46,0.54351,0.38429,0.95576,0.87664,0.82012,0.92107,0.46641,1.63947,0.90141,1.43046,0.000841835,0.000841835,0.000841835
27,523.796,0.53097,0.38076,0.95006,0.8841,0.89097,0.94175,0.505,1.54939,0.8319,1.38244,0.000808828,0.000808828,0.000808828
28,543.137,0.52385,0.36984,0.94385,0.90638,0.90653,0.95413,0.544,1.53921,0.6962,1.37675,0.000775822,0.000775822,0.000775822
29,562.5,0.52232,0.36497,0.94417,0.8417,0.78166,0.87926,0.45781,1.59649,1.1102,1.43327,0.000742815,0.000742815,0.000742815
30,581.841,0.5021,0.35404,0.93832,0.79968,0.72039,0.81178,0.42765,1.63301,1.25418,1.44576,0.000709809,0.000709809,0.000709809
31,601.266,0.50238,0.35802,0.93936,0.78029,0.83403,0.87481,0.47087,1.61483,0.88363,1.44609,0.000676802,0.000676802,0.000676802
32,620.66,0.49444,0.34786,0.93138,0.88654,0.85765,0.92396,0.52969,1.52195,0.81683,1.34917,0.000643795,0.000643795,0.000643795
33,640.083,0.48579,0.34421,0.93304,0.82949,0.71593,0.83835,0.44587,1.57454,1.30814,1.39819,0.000610789,0.000610789,0.000610789
34,659.537,0.48182,0.33866,0.93045,0.87268,0.77525,0.88281,0.48788,1.61518,1.09009,1.43821,0.000577782,0.000577782,0.000577782
35,678.976,0.47623,0.33509,0.92443,0.86398,0.86688,0.91503,0.53294,1.46686,0.87594,1.3316,0.000544776,0.000544776,0.000544776
36,698.377,0.47146,0.33039,0.92365,0.86466,0.85499,0.92588,0.54138,1.47259,0.88999,1.3387,0.000511769,0.000511769,0.000511769
37,717.885,0.46468,0.32486,0.92215,0.85871,0.77855,0.87691,0.49035,1.46943,1.08488,1.32077,0.000478762,0.000478762,0.000478762
38,737.313,0.45506,0.32149,0.91777,0.8248,0.72183,0.83684,0.46293,1.52556,1.24102,1.36468,0.000445756,0.000445756,0.000445756
39,756.721,0.4501,0.31326,0.91745,0.82093,0.77001,0.85235,0.47405,1.53774,1.11863,1.36515,0.000412749,0.000412749,0.000412749
40,776.2,0.44447,0.31093,0.91415,0.8496,0.85899,0.90205,0.51524,1.48123,0.93769,1.30524,0.000379743,0.000379743,0.000379743
41,797.077,0.36536,0.23382,0.85014,0.8271,0.70348,0.82233,0.43307,1.59474,1.34328,1.47724,0.000346736,0.000346736,0.000346736
42,816.424,0.35611,0.22389,0.84583,0.85239,0.8003,0.89429,0.49802,1.56617,0.95951,1.43172,0.000313729,0.000313729,0.000313729
43,835.756,0.34859,0.22257,0.83908,0.8005,0.76022,0.83772,0.46645,1.55004,1.17543,1.45229,0.000280723,0.000280723,0.000280723
44,855.06,0.33136,0.20892,0.83311,0.89531,0.74731,0.88084,0.4932,1.56299,1.17874,1.40953,0.000247716,0.000247716,0.000247716
45,874.388,0.3272,0.206,0.83304,0.92936,0.80815,0.92785,0.5236,1.51902,1.06281,1.39208,0.00021471,0.00021471,0.00021471
46,893.696,0.31905,0.19981,0.83025,0.85217,0.80546,0.89147,0.50561,1.53084,1.0454,1.39943,0.000181703,0.000181703,0.000181703
47,913.031,0.30969,0.19489,0.82416,0.88773,0.76729,0.90947,0.52304,1.48334,1.06534,1.37607,0.000148696,0.000148696,0.000148696
48,932.337,0.30401,0.19014,0.82295,0.87481,0.78302,0.89379,0.52276,1.44367,1.09575,1.34362,0.00011569,0.00011569,0.00011569
49,951.629,0.2954,0.18548,0.81947,0.87437,0.75544,0.88082,0.51261,1.48784,1.22067,1.37465,8.26832e-05,8.26832e-05,8.26832e-05
50,971.042,0.29044,0.18687,0.81915,0.87097,0.77588,0.90088,0.52968,1.44789,1.10883,1.35083,4.96766e-05,4.96766e-05,4.96766e-05
